"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201109.178","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",0,1,1321535.18123667,882695.225418044,438839.95581863,29895095.9488273,24513651.9968739,4823573.04028697,557870.911666428,22.621490803485,2.01142857142857
"vi201111.013","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",0,1,1471215.35181237,1011019.18976546,460196.162046908,36642857.1428571,29687720.9042756,6258241.38167363,696894.856907879,24.9065217391304,2.19693094629156
"vi201109.162","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",0,2,9594.88272921109,4264.39232409382,5330.49040511727,26636673.7739872,22553698.3183206,3834304.54203324,248670.913633338,2776.13333333333,0.8
"vi201109.179","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",0,2,1388059.70149254,981431.000512807,406628.700979731,30818763.326226,24813410.1787905,5365469.38104559,639883.766389926,22.2027649769585,2.41358024691358
"vi201111.014","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",0,2,1499360.34115139,1067940.62034839,431419.720802993,36071002.1321962,28930864.3167122,6388214.0195144,751923.795969567,24.0575938566553,2.47540983606557
"vi201109.163","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",0,3,8315.56503198294,1039.44562899787,7276.11940298507,25698933.901919,21958807.7528802,3506682.03369611,233444.11534269,3090.46153846154,0.142857142857143
"vi201109.180","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",0,3,1342004.26439232,931877.727517287,410126.536875037,31654157.782516,25862382.6478813,5193103.04688527,598672.087749428,23.5872259294566,2.27217125382263
"vi201111.015","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",0,3,1308742.00426439,978934.357597586,329807.646666806,40061194.0298507,33303838.7362491,6053071.10145262,704284.192149068,30.6104594330401,2.96819787985866
"vi201109.181","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",3,1,1303624.73347548,910030.342791537,393594.390683943,30903198.2942431,25228203.9042584,5033823.11419996,641171.27578471,23.7055937193327,2.31210191082803
"vi201111.016","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",3,1,1627292.1108742,1085256.76490517,542035.34596903,40274840.0852878,32802468.0498519,6656083.62422608,816288.411209888,24.749606918239,2.00218818380744
"vi201109.182","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",3,2,1256289.97867804,871762.537547273,384527.441130765,32214498.9339019,26505313.7366026,5105304.87673881,603880.32056053,25.642566191446,2.2671009771987
"vi201111.017","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",3,2,1356076.75906183,991338.872141754,364737.886920079,36491897.6545842,29888853.0025935,5940103.48898424,662941.163006485,26.9099056603774,2.71794871794872
"vi201109.183","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",3,3,1318976.54584222,930304.750014188,388671.79582803,31001705.7569296,25395549.2977623,5016497.93049514,589658.528672236,23.5043646944714,2.39354838709677
"vi201111.018","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",3,3,1252452.02558635,905387.006447967,347065.019138387,37648400.8528785,31321740.8590485,5603038.83488514,723621.158944808,30.0597548518897,2.60869565217391
"vi201109.202","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",6,1,1113646.0554371,769520.535455967,344125.519981134,37101492.5373134,31731506.4584554,4793233.16745073,576752.911407315,33.3153360137852,2.23616236162362
"vi201111.033","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",6,1,1423240.93816631,1005091.98328726,418148.954879051,34304904.0511727,28256205.7766034,5386689.26657443,662009.007994895,24.1033707865169,2.40366972477064
"vi201109.203","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",6,2,1191684.43496802,885505.385045531,306179.049922486,31258848.6140725,26184368.3771378,4505473.77027769,569006.466657032,26.2308105206656,2.89211618257261
"vi201111.034","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",6,2,1500000,1145780.05115089,354219.948849105,33397867.803838,27187031.8332357,5510119.81997929,700716.150622937,22.2652452025586,3.23465703971119
"vi201109.204","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",6,3,1349040.51172708,957424.604458521,391615.907268558,27669083.1556503,22797314.5074046,4331577.69446912,540190.953776601,20.5101944049312,2.44480519480519
"vi201111.035","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",6,3,1462899.78678038,1024285.60245724,438614.184323139,34413646.0554371,28131790.0294446,5624847.6417873,657008.384205185,23.5242675994753,2.33527696793003
"vi201109.205","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",9,1,1322174.84008529,1013243.60341151,308931.236673774,30090831.5565032,24706235.8937457,4804619.35422216,579976.308535328,22.7585873246251,3.2798353909465
"vi201111.036","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",9,1,1497441.36460554,1079283.10138948,418158.263216066,34439232.4093817,28027659.7943173,5691623.74662758,719948.868436748,22.9987184963691,2.58103975535168
"vi201109.206","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",9,2,1306823.02771855,1006813.07193881,300009.955779745,29053304.9040512,23689501.7828895,4741420.90246146,622382.218700192,22.2320117474303,3.35593220338983
"vi201111.037","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",9,2,1427078.891258,1057521.72318133,369557.168076667,34595309.1684435,28421171.7986569,5471758.43964575,702378.930140863,24.2420439264904,2.86159169550173
"vi201109.207","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",9,3,1267164.17910448,976110.420814683,291053.758289795,30624307.0362473,24975138.5839887,5043855.45926769,605312.992990958,24.1675921251893,3.35371179039301
"vi201111.039","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",9,3,1413006.39658849,1030663.48927631,382342.907312179,35035394.45629,28735368.8037359,5581137.83328782,718887.819266263,24.7949298325034,2.69565217391304
"vi201109.219","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",12,1,1378464.81876333,957443.365378391,421021.453384935,32618123.6673774,26900535.7081304,5151353.40289644,566234.556350547,23.6626450116009,2.27409638554217
"vi201111.052","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",12,1,1422601.2793177,1024170.75943698,398430.51988072,33884008.5287846,27812665.5362711,5416689.43919925,654653.553314328,23.818345323741,2.57051282051282
"vi201109.220","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",12,2,1184008.52878465,844634.961175787,339373.567608862,34128997.8678038,29075176.9692984,4508480.70209787,545340.196407602,28.8249594813614,2.48880597014925
"vi201111.053","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",12,2,1463539.445629,1043378.47040043,420160.975228569,33789339.0191898,27531164.6980981,5574476.35911456,683697.961977098,23.0874125874126,2.48328267477204
"vi201109.221","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",12,3,1389978.67803838,1008241.83306616,381736.844972219,31636886.9936034,25906285.2048521,5123285.9871845,607315.801566813,22.7606994937874,2.64119601328904
"vi201111.054","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",12,3,1449466.95095949,1053577.29915558,395889.651803913,33898081.0234542,27863358.1509244,5309292.31151782,725430.561011956,23.3865842894969,2.66129032258065
"vi201109.164","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",24,1,9594.88272921109,1066.09808102345,8528.78464818763,22697654.5842217,18904279.3282818,3529216.12095538,264159.134984599,2365.6,0.125
"vi201109.222","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",24,1,1136673.77398721,859467.140910149,277206.633077058,33495735.6076759,28443614.9816325,4544647.54476005,507473.081283322,29.4682048396173,3.10045662100457
"vi201111.055","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",24,1,1413646.0554371,1008835.03504545,404811.020391654,32094243.0703625,26208867.1570975,5214746.16864185,670629.74462311,22.7031674208145,2.49211356466877
"vi201109.165","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",24,2,53091.684434968,1234.69033569693,51856.9940992711,18568017.0575693,15439289.9852598,2904445.5617497,224281.510559822,349.734939759036,0.0238095238095238
"vi201109.223","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",24,2,1464179.10447761,1117800.51217052,346378.592307095,30255223.880597,24819237.8553922,4796605.75010004,639380.275104814,20.6636085626911,3.22710622710623
"vi201111.056","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",24,2,1437953.09168444,1066332.8877056,371620.203978837,31338166.3113006,25597275.846876,5137383.61551438,603506.848910266,21.7935943060498,2.86941580756014
"vi201109.166","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",24,3,9594.88272921109,0,9594.88272921109,21433688.6993603,17796388.4761402,3394730.18427041,242570.038949709,2233.86666666667,0
"vi201109.224","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"VP",24,3,1441151.38592751,1110041.78053395,331109.605393555,31155863.5394456,25701674.4397351,4877158.97416615,577030.125544349,21.618730581447,3.35249042145594
"vi201111.057","Viruses",2020-09-01,2020-11-11,"NJ2020",5,1,"VPC",24,3,1427718.55010661,1056103.07776222,371615.472344386,32540724.9466951,26693474.6156423,5182818.77474826,664431.556304554,22.7921146953405,2.84192439862543
"vi201112.012","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",0,1,-255.863539445629,-63.9658848614072,-191.897654584222,10851940.2985075,8137957.61951412,2504984.56421697,208998.114776366,-42413,0.333333333333333
"vi201112.039","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",0,1,1226865.67164179,913460.733714604,313404.937927186,28041364.6055437,22919095.3852044,4444211.64192777,678057.578411571,22.8561001042753,2.91463414634146
"vi201112.098","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",0,1,1286993.60341151,944220.059532606,342773.543878908,27408102.3454158,22136784.4544312,4588647.21534948,682670.675635099,21.2962226640159,2.7546468401487
"vi201112.016","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",0,2,-255.863539445629,-63.9658848614072,-191.897654584222,11759232.4093817,8816550.59432623,2691794.20106803,250887.613987403,-45959,0.333333333333333
"vi201112.040","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",0,2,1288272.92110874,946772.285246088,341500.635862654,26861833.6886994,21772380.6632562,4432065.3429901,657387.682453077,20.8510427010924,2.77238805970149
"vi201112.099","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",0,2,1298507.46268657,953173.289587392,345334.173099175,27376119.4029851,22212465.1677673,4497255.27459524,666398.960622536,21.0827586206897,2.76014760147601
"vi201112.018","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",0,3,3326.22601279318,277.185501066098,3049.04051172708,11617228.1449893,8676069.17637102,2688816.92323057,252342.045387742,3492.61538461539,0.0909090909090909
"vi201112.041","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",0,3,1316417.91044776,978711.476499401,337706.433948361,30742004.2643923,25301118.7455427,4727613.95819083,713271.560658755,23.3527696793003,2.89811320754717
"vi201112.100","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",0,3,1285714.28571429,991363.44329605,294350.842418236,27616631.130064,22398183.3078507,4555668.68351852,662779.138694707,21.4796019900498,3.36796536796537
"vi201112.042","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",3,1,1244776.11940299,936448.769458745,308327.34994424,28646481.8763326,23634065.9276281,4405228.97186745,607186.976837091,23.0133607399794,3.03719008264463
"vi201112.101","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",3,1,1183368.86993603,989749.851388911,193619.018547123,26635394.45629,21792368.2840997,4188293.01578477,654733.156405496,22.5081081081081,5.11184210526316
"vi201112.043","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",3,2,1295948.82729211,973554.477926423,322394.349365687,27601279.3176972,22654468.991357,4301465.65343635,645344.672903829,21.2981243830207,3.0197628458498
"vi201112.102","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",3,2,1266524.52025586,997674.747847426,268849.772408438,26666098.0810235,21589280.851128,4437060.78842202,639756.441473408,21.0545454545455,3.71090047393365
"vi201112.044","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",3,3,1261407.24946695,969627.188731667,291780.060735285,27871215.3518124,22752190.8953132,4444811.47930171,674212.97719745,22.0953346855984,3.32314410480349
"vi201112.103","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",3,3,1228144.98933902,977165.152306045,250979.837032974,27680597.0149254,22797036.3687121,4221997.62909497,661563.017118258,22.5385416666667,3.89340101522843
"vi201112.064","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",6,1,1211513.85927505,928911.777038299,282602.082236754,22778251.5991471,17433545.1419346,4572272.32024518,772434.136967376,18.8014783526927,3.28699551569507
"vi201112.116","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",6,1,1113646.0554371,896007.797745964,217638.257691136,22768656.7164179,18283476.1675494,4037152.14251324,448028.40635532,20.4451464675474,4.11695906432749
"vi201112.065","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",6,2,1212793.17697228,907377.131360662,305416.045611619,24885287.8464819,20353328.9969007,3939393.57498784,592565.274593312,20.5189873417721,2.97095435684647
"vi201112.117","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",6,2,1090618.33688699,860277.707976205,230340.628910789,22066311.3006397,17731529.8551758,3859251.27561461,475530.169849251,20.2328445747801,3.73480662983425
"vi201112.066","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",6,3,1018336.8869936,789369.214265849,228967.672727754,29237526.652452,25180119.318727,3564889.68049825,492517.653226731,28.7110552763819,3.4475138121547
"vi201112.118","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",6,3,1075266.52452026,903478.381549564,171788.142970692,21567377.3987207,17237049.5432276,3940769.3146295,389558.540863592,20.0577037477692,5.25925925925926
"vi201112.067","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",9,1,-1279.31769722814,-639.658848614072,-639.658848614072,10207675.9061834,8171006.48806166,1872160.28423474,164509.133886964,-7979,1
"vi201112.119","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",9,1,18550.1066098081,9763.21400516216,8786.89260464594,9860341.15138593,7592810.28966298,2074031.80505062,193499.056672321,531.551724137931,1.11111111111111
"vi201112.068","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",9,2,1226865.67164179,899870.482299248,326995.189342543,24694669.5095949,20014517.5926039,4043621.82136252,636530.095628495,20.1282586027112,2.75193798449612
"vi201112.120","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",9,2,1130277.18550107,878255.921166369,252021.264334697,25329850.7462687,20172161.0132041,4688026.44867112,469663.284393487,22.4102999434069,3.48484848484849
"vi201112.069","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",9,3,1293390.19189765,980186.880722438,313203.311175216,25028571.4285714,20452598.548735,3969769.98290981,606202.896926568,19.351137487636,3.12955465587044
"vi201112.121","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",9,3,1034328.35820896,858759.707000055,175568.6512089,22314498.9339019,18006926.1608023,3830584.30589097,476988.467208646,21.573902288188,4.89130434782609
"vi201112.081","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",12,1,1217270.78891258,914543.048305272,302727.740607308,24481663.1130064,20089657.7315428,3771869.66273125,620135.718732308,20.1119285338939,3.02100840336134
"vi201112.133","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",12,1,934541.57782516,783440.425975712,151101.151849448,22854371.0021322,18649365.8501472,3830424.93572355,374580.216261464,24.4551676933607,5.18487394957983
"vi201112.082","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",12,2,1246695.09594883,957919.803315782,288775.292633045,24422814.4989339,20011168.1356361,3796531.12099773,615115.242300058,19.5900461775269,3.31718061674009
"vi201112.134","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",12,2,878251.599147122,748798.328752604,129453.270394518,22608742.0042644,18403737.4384572,3763354.67797831,441649.887828859,25.7428987618354,5.7843137254902
"vi201112.083","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",12,3,1285074.62686567,1000067.97694695,285006.649918723,25987420.0426439,21369124.8745338,4064548.73153412,553746.43657599,20.2224987555998,3.50892857142857
"vi201112.135","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",12,3,960127.931769723,770896.368497648,189231.563272075,22010021.3219616,17933723.1059372,3652383.09200357,423915.124020837,22.9240506329114,4.0738255033557
"vi201112.019","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",24,1,-255.863539445629,-102.345415778252,-153.518123667377,9223880.59701492,6945723.13963244,2101844.85712724,176312.600255239,-36050,0.666666666666668
"vi201112.084","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",24,1,1595948.82729211,1314460.64626134,281488.181030771,25607462.6865672,21133013.6319377,3844859.53872313,629589.51590635,16.0452905811623,4.66968325791855
"vi201112.136","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",24,1,1036886.99360341,829763.73385175,207123.259751662,20955863.5394456,16875422.6026434,3681955.52739741,398485.409404777,20.2103639728563,4.00613496932515
"vi201112.020","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",24,2,1279.31769722814,319.829424307036,959.488272921109,10004776.119403,7446086.23713951,2339160.26396033,219529.61830315,7820.4,0.333333333333333
"vi201112.085","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",24,2,1470575.69296375,1241395.06548888,229180.627474871,25359275.0533049,19953633.8507991,4656554.19242835,749087.010077472,17.2444541104828,5.41666666666667
"vi201112.137","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",24,2,986993.603411514,793913.77365791,193079.829753604,18383155.6503198,14110648.190501,3755751.63857913,516755.821239656,18.6254050550875,4.11184210526316
"vi201112.021","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"0.22",24,3,767.590618336887,109.655802619555,657.934815717332,9569808.10234542,7166418.01679171,2187114.80892651,216275.276627195,12467.3333333333,0.166666666666667
"vi201112.086","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VP",24,3,1543496.80170576,1301529.48130634,241967.320399417,24962686.5671642,20585868.9433646,3814920.45661094,561897.167188613,16.1728139245752,5.37894736842105
"vi201112.138","Viruses",2020-09-03,2020-11-12,"NJ2020",6,1,"VPC",24,3,1089339.01918977,866895.228806791,222443.790382974,19109808.1023454,14220331.3563767,4305215.22088077,584261.525087902,17.5425719318849,3.89714285714286
"vi201116.116","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"0.22",0,1,19189.7654584222,4515.23893139345,14674.5265270287,70967590.6183369,55690509.4665064,13945904.0921503,1331177.05968017,3698.2,0.307692307692308
"vi201116.162","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VP",0,1,908315.565031983,455308.196262866,453007.368769117,3607420.04264392,2895855.56691169,527380.185866695,184184.289865542,3.97154929577465,1.00507900677201
"vi201118.008","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VPC",0,1,985330.490405117,663673.016264604,321657.474140513,7138336.8869936,6110333.54334243,789368.514717279,238634.828933893,7.24461178914568,2.06329113924051
"vi201116.117","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"0.22",0,2,26865.671641791,8059.70149253731,18805.9701492537,74976972.2814499,59079406.0534775,14550101.4098537,1347464.8181187,2790.80952380952,0.428571428571429
"vi201116.163","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VP",0,2,897569.296375267,449168.115560052,448401.180815214,3659104.47761194,2840817.41741009,581676.938284863,236610.121916989,4.0766818700114,1.00171037628278
"vi201118.009","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VPC",0,2,1094328.35820896,702732.961530181,391595.396678775,6756076.75906183,5711003.05457947,771504.505003929,273569.199478434,6.17371989712415,1.79453836150845
"vi201116.118","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"0.22",0,3,8955.22388059702,2755.45350172216,6199.77037887486,73301066.098081,58308009.5406148,13696427.8207584,1296628.73670783,8185.28571428571,0.444444444444444
"vi201116.164","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VP",0,3,925714.285714286,437164.161439224,488550.124275062,3418592.75053305,2639105.81877202,556243.069120658,223243.862640372,3.69292426755113,0.894819466248038
"vi201118.010","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VPC",0,3,1092793.17697228,708838.817495534,383954.359476748,6609211.08742004,5623040.49523285,740856.970302143,245313.621885049,6.04799812690236,1.84615384615385
"vi201116.165","Viruses",2020-09-05,2020-11-16,"NJ2020",7,1,"VP",3,1,873773.987206823,438165.188435487,435608.798771336,4805373.13432836,3974040.57183284,623624.84923472,207707.7132608,5.499560761347,1.00586854460094
